Date,priceUSD,size,sentbyaddress,transactions,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,marketcap,transactionvalue,mediantransactionvalue,tweets,google_trends,fee_to_reward,activeaddresses,top100cap,Year,Month
2015-09-17,230.686,705185.0,212283,259135.0,2.135,249123391.0,0.0241,0.00997,10.0,3354836745,1166.0,0.0917,30190.75,7.375,0.748,265938,20.503,2015,9
2015-12-09,417.576,687641.0,342698,220155.0,2.542,1514603698.0,0.0708,0.0418,8.571,6231066237,7508.0,251.091,30190.75,23.19,0.881,425026,20.031,2015,12
2015-12-14,441.485,629881.0,335444,231282.0,3.236,2008904200.0,0.0774,0.0441,7.385,6597185574,9486.0,219.558,30190.75,9.508,0.825,477652,19.899,2015,12
2015-12-15,456.742,621309.0,340228,223815.0,2.812,1865807809.0,0.0816,0.0457,7.869,6827410103,9122.0,209.696,30190.75,10.435,0.867,424449,19.969,2015,12
2015-12-16,456.521,676230.0,327220,220257.0,2.702,1918673569.0,0.0775,0.0457,8.834,6826183331,9318.0,213.286,30190.75,10.435,0.91,413586,19.928,2015,12
2015-12-17,455.108,676525.0,315139,216142.0,2.887,1812196236.0,0.0793,0.0455,9.29,6806917645,8825.0,232.901,30190.75,9.972,0.963,417820,19.804,2015,12
2015-12-18,459.385,611776.0,312764,213678.0,2.976,1774288441.0,0.0812,0.0459,8.521,6872665745,8838.0,245.411,30190.75,8.812,0.887,409529,19.812,2015,12
2015-12-19,462.587,653173.0,349534,213719.0,2.493,1661560806.0,0.0763,0.0463,9.172,6922542459,8497.0,151.534,30190.75,9.044,0.89,450435,19.697,2015,12
2015-12-21,437.468,766445.0,336590,229295.0,2.205,2183923150.0,0.0784,0.0437,9.664,6550147207,10197.0,249.933,30190.75,9.044,1.092,446717,19.55,2015,12
2015-12-22,439.047,749711.0,329137,222567.0,2.508,2022969093.0,0.0772,0.0439,9.6,6575428221,9453.0,244.393,30190.75,8.812,1.033,419228,19.531,2015,12
2015-12-23,440.857,686848.0,306698,220918.0,2.333,1896949174.0,0.0794,0.0441,9.172,6604191700,8950.0,258.198,30190.75,9.044,1.005,415266,19.514,2015,12
2016-01-18,383.0,665426.0,325175,213732.0,1.69,3573385257.0,0.0707,0.0383,8.324,5776110396,16948.0,91.385,30190.75,10.516,0.905,414949,19.459,2016,1
2016-01-21,414.174,840116.0,348163,222606.0,1.886,2100121859.0,0.0937,0.0414,10.511,6251002795,9877.0,122.14,30190.75,9.733,1.45,435891,19.499,2016,1
2016-01-22,393.566,661773.0,333197,213507.0,1.956,2973756111.0,0.0833,0.0394,8.182,5941306393,14218.0,122.007,30190.75,9.361,1.017,426162,19.465,2016,1
2016-01-25,396.252,719273.0,349905,221988.0,1.61,6821829144.0,0.0821,0.0396,8.889,5987073722,30994.0,111.21,30190.75,8.897,1.123,443098,19.299,2016,1
2016-01-26,393.133,742693.0,368829,230363.0,1.689,4021737819.0,0.0802,0.0393,9.0,5941533615,17732.0,157.879,30190.75,8.565,1.163,466663,19.309,2016,1
2016-01-27,394.257,743934.0,360186,229522.0,1.666,5418821406.0,0.0844,0.0394,9.29,5960108908,23863.0,153.774,30190.75,8.449,1.253,432690,19.35,2016,1
2016-01-28,383.843,796986.0,359891,224879.0,1.572,2283760618.0,0.081,0.0384,9.863,5804152379,10386.0,110.332,30190.75,8.089,1.284,464730,19.333,2016,1
2016-01-29,375.988,686915.0,351506,224225.0,1.64,2645564853.0,0.0788,0.0376,8.521,5686750560,12025.0,120.316,30190.75,7.665,1.101,453312,19.346,2016,1
2016-02-01,373.237,776887.0,341667,222237.0,1.436,1910602667.0,0.094,0.0373,8.944,5650168188,8984.0,155.405,30190.75,8.19,1.373,540454,19.375,2016,2
2016-02-02,374.287,803808.0,394134,241542.0,1.729,1365424773.0,0.0909,0.0374,8.0,5667559811,5910.0,114.539,30190.75,7.934,1.287,600278,19.376,2016,2
2016-02-05,387.86,646711.0,340590,225300.0,1.757,1283338133.0,0.0741,0.0388,7.66,5878189534,5996.0,138.438,30190.75,7.294,0.908,429973,19.539,2016,2
2016-02-06,377.282,603067.0,326435,223956.0,1.707,1091968720.0,0.0677,0.0377,7.2,5719660327,5357.0,148.611,30190.75,7.678,0.798,429750,19.509,2016,2
2016-02-08,376.95,818973.0,327394,224607.0,1.166,922363652.0,0.0707,0.0377,9.73,5718164014,4406.0,181.746,30190.75,7.678,1.127,410619,19.501,2016,2
2016-02-09,374.584,696074.0,351661,231064.0,1.435,766267258.0,0.0677,0.0375,8.182,5683662489,3610.0,205.305,30190.75,8.062,0.941,466938,19.576,2016,2
2016-02-10,379.689,738351.0,346865,235363.0,1.246,925360422.0,0.0728,0.038,8.78,5762785803,4277.0,206.339,30190.75,8.702,1.089,422015,19.491,2016,2
2016-02-11,380.995,639215.0,331552,220742.0,1.462,935612175.0,0.0764,0.0381,7.5,5784179299,4579.0,149.286,30190.75,8.702,0.914,420891,19.529,2016,2
2016-02-15,404.62,762485.0,339897,220197.0,1.373,1466430409.0,0.0774,0.0405,9.474,6149775364,7245.0,196.379,30190.75,8.83,1.097,443684,19.551,2016,2
2016-02-16,404.798,760353.0,319157,215802.0,1.303,1510244247.0,0.0792,0.0405,10.435,6154011412,7464.0,200.731,30190.75,9.214,1.209,405987,19.536,2016,2
2016-02-17,414.783,773878.0,363404,227080.0,1.606,1562509539.0,0.0801,0.0415,9.29,6307245596,7272.0,176.735,30190.75,9.214,1.12,480013,19.495,2016,2
2016-02-18,420.743,650812.0,336132,212810.0,1.499,1544984290.0,0.0857,0.0421,8.521,6399505502,7608.0,176.76,30190.75,10.877,1.016,419151,19.533,2016,2
2016-02-19,420.701,767033.0,338029,217291.0,1.296,1930946166.0,0.0889,0.0421,9.931,6400644644,9406.0,186.092,30190.75,9.854,1.252,436520,19.508,2016,2
2016-02-20,430.082,737687.0,336835,215578.0,1.365,1704135948.0,0.0825,0.043,9.6,6544931380,8369.0,202.225,30190.75,9.214,1.091,445276,19.539,2016,2
2016-02-22,437.065,898157.0,373503,237569.0,1.354,1857114236.0,0.0843,0.0437,11.339,6654227687,8202.0,204.59,30190.75,9.214,1.423,439234,19.546,2016,2
2016-02-23,427.514,883107.0,376797,244612.0,1.33,1585143798.0,0.0845,0.0428,10.588,6510180411,6971.0,181.651,30190.75,8.446,1.403,461062,19.553,2016,2
2016-02-24,421.19,918082.0,332184,224809.0,1.215,1458057655.0,0.0862,0.0421,12.203,6415299573,6950.0,168.434,30190.75,9.086,1.536,410824,19.52,2016,2
2016-02-25,423.3,798942.0,345734,216135.0,1.503,1245035812.0,0.0899,0.0423,9.29,6448697649,6056.0,165.218,30190.75,8.574,1.171,475481,19.535,2016,2
2016-02-28,429.127,776484.0,332064,233302.0,1.211,3543495229.0,0.0818,0.0429,10.746,6542206952,15603.0,256.579,30190.75,7.55,1.311,431474,19.54,2016,2
2016-02-29,436.765,913216.0,391910,265187.0,1.316,4224600109.0,0.091,0.0437,10.827,6660111794,16341.0,329.906,30190.75,8.318,1.636,491300,19.472,2016,2
2016-03-01,434.676,904953.0,403197,276953.0,1.455,4642360608.0,0.0943,0.0435,10.213,6629706127,17265.0,284.384,30190.75,9.726,1.676,477531,19.106,2016,3
2016-03-02,431.575,900198.0,399762,270049.0,1.421,2347458168.0,0.147,0.0432,9.172,6583928785,9129.0,284.898,30190.75,8.702,2.295,498562,19.386,2016,3
2016-03-03,421.323,920750.0,337358,221517.0,1.266,1389892162.0,0.107,0.0421,10.667,6429183134,6705.0,207.207,30190.75,8.958,1.636,484425,19.441,2016,3
2016-03-05,403.989,779954.0,326374,234842.0,1.234,7765986925.0,0.107,0.0537,9.6,6167597659,33565.0,419.867,30190.75,8.574,1.629,469348,19.91,2016,3
